t,x,y,hope,joy,satisfaction,fear
108,3.8331454,2.9137979,0.67,0.0,0.0,0.565
109,3.8200107,2.655333,0.6675,0.0,0.0,0.5625
110,3.8200107,2.4355793,0.665,0.0,0.0,0.56
111,3.6755197,2.2193413,0.6625,0.0,0.0,0.5575
112,3.1823447,2.179994,0.66,0.0,0.0,0.555
113,2.6656244,2.179994,0.6575,0.0,0.0,0.5525
114,2.343459,2.203823,0.85,0.0,0.0,0.55
115,2.343459,2.203823,0.8475,0.0,0.0,0.5475
116,2.343459,2.203823,0.845,0.0,0.0,0.545
117,2.343459,2.203823,0.8425,0.0,0.0,0.5425
118,2.083472,2.203823,0.84,0.0,0.0,0.54
119,2.2126245,2.218584,0.8375,0.0,0.0,0.5375
120,2.2126245,2.218584,0.835,0.0,0.0,0.535
121,2.1739836,2.7145524,0.8325,0.0,0.0,0.5325
122,2.1799967,3.2342224,0.83,0.0,0.0,0.53
123,2.1799967,3.6235433,0.8275,0.0,0.0,0.5275
124,2.1799967,3.8825464,0.825,0.0,0.0,0.525
125,2.1799967,4.2714534,0.8225,0.0,0.0,0.5225
126,2.1805334,4.6011295,0.0,1.0,0.0,0.4375
127,2.1805334,4.6011295,0.0,0.9975,0.0,0.435
128,2.1805334,4.6011295,0.0,0.995,0.0,0.4325
129,2.1805334,4.6011295,0.0,0.9925,0.0,0.43
130,2.1805334,4.8611164,0.0,0.99,0.0,0.4275
131,2.1805334,4.8611164,0.0,0.9875,0.0,0.425
132,2.569792,4.8373976,0.0,0.985,0.0,0.4225
133,3.0887434,4.8200064,0.0,0.9825,0.0,0.42
134,3.60501,4.8200064,0.0,0.98,0.0,0.4175
135,4.124679,4.820003,0.0,0.9775,0.0,0.415
136,4.6440363,4.820003,0.0,0.975,0.0,0.4125
137,5.2907767,4.820003,0.0,0.9725,0.0,0.035
138,5.610973,4.815395,0.0,0.97,0.0,0.075
139,5.9891396,4.720134,0.0,0.9675,0.0,0.0725
140,6.619417,4.5613647,0.0,0.965,0.0,0.07
141,6.997584,4.4661036,0.0,0.9625,0.0,0.1125
142,7.2234173,4.3389363,0.0,0.96,0.0,0.11
143,7.472221,4.1676636,0.0,0.9575,0.0,0.1075
144,7.861767,4.1799955,0.0,0.955,0.0,0.105
145,8.3798,4.1799955,0.0,0.9525,0.0,0.1025
146,8.769433,4.19141,0.0,0.95,0.0,0.1
147,8.979925,4.0218534,0.0,0.9475,0.0,0.0975
148,9.2132635,3.9793243,0.0,0.945,0.0,0.095
149,9.2132635,3.9793243,0.0,0.9425,0.0,0.0925
150,9.297967,3.9799242,0.0,0.94,0.0,0.09
151,9.814488,3.979991,0.0,0.9375,1.0,0.0875
