t,x,y,hope,joy,satisfaction,fear
1,2.0,7.0,0.6225,0.0,0.0,0.6225
2,1.6462842,6.835775,0.61875,0.0,0.0,0.61875
3,1.354041,6.798342,0.61625,0.0,0.0,0.61625
4,1.1263034,6.3994117,0.6125,0.0,0.0,0.6125
5,0.94028586,5.7766314,0.61,0.0,0.0,0.61
6,0.8658788,5.527519,0.60625,0.0,0.0,0.60625
7,0.8658788,5.527519,0.60375,0.0,0.0,0.60375
8,0.8658788,5.527519,0.6,0.0,0.0,0.6
9,0.8658788,5.2675323,0.5975,0.0,0.0,0.5975
10,1.1255674,5.255079,0.595,0.0,0.0,0.595
11,1.5876634,5.1730223,0.59125,0.0,0.0,0.59125
12,2.2371376,5.1799965,0.58875,0.0,0.0,0.58875
13,2.756394,5.1799965,0.58625,0.0,0.0,0.58625
14,3.2737885,5.1799965,0.5825,0.0,0.0,0.5825
15,3.6832309,4.910201,0.58,0.0,0.0,0.58
16,4.201582,4.869154,0.5775,0.0,0.0,0.5775
17,4.849521,4.8200083,0.57375,0.0,0.0,0.57375
18,5.3654265,4.8200083,0.57125,0.0,0.0,0.57125
19,5.4837103,5.0515294,0.56875,0.0,0.0,0.56875
20,5.6537137,5.2114487,0.565,0.0,0.0,0.565
21,5.9922447,5.5893707,0.5625,0.0,0.0,0.5625
22,6.4700975,6.205803,0.56,0.0,0.0,0.56
23,6.869488,6.7185845,0.5575,0.0,0.0,0.5575
24,7.1091123,7.0262613,0.55375,0.0,0.0,0.55375
25,7.1091123,7.0262613,0.55125,0.0,0.0,0.55125
26,7.1091123,7.0262613,0.54875,0.0,0.0,0.54875
27,7.1091123,6.7662745,0.54625,0.0,0.0,0.54625
28,7.1474786,6.3781853,0.54375,0.0,0.0,0.54375
29,7.17999,5.7319098,0.54125,0.0,0.0,0.54125
30,7.179993,5.214731,0.5375,0.0,0.0,0.5375
31,7.179993,4.699798,0.535,0.0,0.0,0.535
32,7.1870327,4.382117,0.5325,0.0,0.0,0.5325
33,7.3960075,4.183635,0.53,0.0,0.0,0.53
34,8.042179,4.1799955,0.5275,0.0,0.0,0.5275
35,8.3011875,4.1799955,0.525,0.0,0.0,0.525
36,8.629286,4.1904106,0.5225,0.0,0.0,0.5225
37,8.629286,4.1904106,0.52,0.0,0.0,0.52
38,8.629286,4.1904106,0.51625,0.0,0.0,0.51625
39,8.889273,4.1904106,0.51375,0.0,0.0,0.51375
40,8.8671055,4.7099123,0.51125,0.0,0.0,0.51125
41,8.839396,5.3592887,0.50875,0.0,0.0,0.50875
42,8.820004,6.138488,0.50625,0.0,0.0,0.50625
43,8.820004,6.657174,0.50375,0.0,0.0,0.50375
44,8.820004,6.915201,0.50125,0.0,0.0,0.50125
45,9.03042,7.0679045,0.49875,0.0,0.0,0.49875
46,9.03042,7.0679045,0.49625,0.0,0.0,0.49625
47,9.03042,7.0679045,0.49375,0.0,0.0,0.49375
48,9.03042,6.8079176,0.49125,0.0,0.0,0.49125
49,9.05473,6.5490694,0.48875,0.0,0.0,0.48875
50,9.011541,6.1614876,0.48625,0.0,0.0,0.48625
51,8.953955,5.6447124,0.48375,0.0,0.0,0.48375
52,8.893911,5.2593822,0.4825,0.0,0.0,0.4825
53,8.820015,4.617531,0.48,0.0,0.0,0.48
54,8.820015,4.406637,0.4775,0.0,0.0,0.4775
55,8.587851,4.1782036,0.475,0.0,0.0,0.475
56,7.9402432,4.1799946,0.4725,0.0,0.0,0.4725
57,7.681421,4.1799946,0.47,0.0,0.0,0.47
58,7.1614747,4.1745834,0.4675,0.0,0.0,0.4675
59,6.5115423,4.167821,0.465,0.0,0.0,0.465
60,5.9915967,4.16241,0.4625,0.0,0.0,0.4625
61,5.8655014,4.3897715,0.46125,0.0,0.0,0.46125
62,5.8200607,4.589425,0.45875,0.0,0.0,0.45875
63,5.633636,4.804465,0.45625,0.0,0.0,0.45625
64,4.9950566,4.8200045,0.45375,0.0,0.0,0.45375
