t,x,y,hope,joy,satisfaction,fear
1,2.0,7.0,0.31125,0.0,0.0,0.31125
2,1.6462842,6.835775,0.31,0.0,0.0,0.31
3,1.354041,6.798342,0.3075,0.0,0.0,0.3075
4,1.1263034,6.3994117,0.30625,0.0,0.0,0.30625
5,0.94028586,5.7766314,0.305,0.0,0.0,0.305
6,0.8658788,5.527519,0.30375,0.0,0.0,0.30375
7,0.8658788,5.527519,0.30125,0.0,0.0,0.30125
8,0.8658788,5.527519,0.3,0.0,0.0,0.3
9,0.8658788,5.2675323,0.29875,0.0,0.0,0.29875
10,1.1255674,5.255079,0.2975,0.0,0.0,0.2975
11,1.5876634,5.1730223,0.29625,0.0,0.0,0.29625
12,2.1072524,5.1799965,0.29375,0.0,0.0,0.29375
13,2.8860533,5.1799965,0.2925,0.0,0.0,0.2925
14,3.4016306,5.1799965,0.29125,0.0,0.0,0.29125
15,3.6832263,4.910203,0.29,0.0,0.0,0.29
16,4.07199,4.8794174,0.28875,0.0,0.0,0.28875
17,4.849517,4.8200083,0.2875,0.0,0.0,0.2875
18,5.3654222,4.820008,0.285,0.0,0.0,0.285
19,5.483708,5.051528,0.28375,0.0,0.0,0.28375
20,5.6537113,5.2114477,0.2825,0.0,0.0,0.2825
21,5.992243,5.589368,0.28125,0.0,0.0,0.28125
22,6.3907304,6.102848,0.28,0.0,0.0,0.28
23,6.789882,6.6158156,0.27875,0.0,0.0,0.27875
24,7.1091986,7.0261936,0.2775,0.0,0.0,0.2775
25,7.1091986,7.0261936,0.27625,0.0,0.0,0.27625
26,7.1091986,7.0261936,0.275,0.0,0.0,0.275
27,7.1091986,6.7662067,0.2725,0.0,0.0,0.2725
28,7.160327,6.2487526,0.27125,0.0,0.0,0.27125
29,7.1799903,5.6035314,0.27,0.0,0.0,0.27
30,7.1799927,5.217408,0.26875,0.0,0.0,0.26875
31,7.1799927,4.7024255,0.2675,0.0,0.0,0.2675
32,7.1861525,4.384577,0.26625,0.0,0.0,0.26625
33,7.3923707,4.1848774,0.265,0.0,0.0,0.265
34,7.9080844,4.1799955,0.26375,0.0,0.0,0.26375
35,8.296876,4.1799955,0.2625,0.0,0.0,0.2625
36,8.625317,4.1887827,0.26125,0.0,0.0,0.26125
37,8.625317,4.1887827,0.26,0.0,0.0,0.26
38,8.625317,4.1887827,0.25875,0.0,0.0,0.25875
39,8.8853035,4.1887827,0.2575,0.0,0.0,0.2575
40,8.863828,4.708313,0.25625,0.0,0.0,0.25625
41,8.836983,5.357726,0.255,0.0,0.0,0.255
42,8.820004,6.00712,0.25375,0.0,0.0,0.25375
43,8.820004,6.5261354,0.2525,0.0,0.0,0.2525
44,8.820004,6.9136853,0.25125,0.0,0.0,0.25125
45,9.03006,7.066885,0.31875,0.0,0.0,0.25
46,9.03006,7.066885,0.3175,0.0,0.0,0.24875
47,9.03006,7.066885,0.315,0.0,0.0,0.2475
48,9.03006,6.8068976,0.31375,0.0,0.0,0.24625
49,9.054592,6.548071,0.3125,0.0,0.0,0.245
50,8.997017,6.031294,0.31125,0.0,0.0,0.24375
51,8.953836,5.6437116,0.30875,0.0,0.0,0.2425
52,8.873764,5.12994,0.3075,0.0,0.0,0.24125
53,8.820015,4.616545,0.30625,0.0,0.0,0.24
54,8.820015,4.405856,0.305,0.0,0.0,0.23875
55,8.586123,4.17772,0.30375,0.0,0.0,0.2375
56,8.067635,4.1799946,0.30125,0.0,0.0,0.23625
57,7.679516,4.1799946,0.3,0.0,0.0,0.235
58,7.15957,4.1745787,0.29875,0.0,0.0,0.23375
59,6.639624,4.1691628,0.2975,0.0,0.0,0.2325
60,5.989692,4.1623926,0.29625,0.0,0.0,0.325
61,5.864396,4.390196,0.29375,0.0,0.0,0.32375
62,5.820061,4.589868,0.2925,0.0,0.0,0.34375
63,5.632555,4.804975,0.29125,0.0,0.0,0.3425
64,4.8638315,4.8200045,0.29,0.0,0.0,0.3625
65,4.3453474,4.8200045,0.28875,0.0,0.0,0.36125
66,4.0878897,4.8200045,0.2875,0.0,0.0,0.35875
67,3.568347,4.8200035,0.285,0.0,0.0,0.3575
68,2.7908483,4.8200035,0.28375,0.0,0.0,0.355
69,2.66236,4.8200035,0.2825,0.0,0.0,0.35375
70,2.66236,4.8200035,0.28125,0.0,0.0,0.35125
71,2.66236,4.8200035,0.28,0.0,0.0,0.35
72,2.402373,4.8200035,0.27875,0.0,0.0,0.38125
73,2.402373,4.8200035,0.2775,0.0,0.0,0.37875
74,2.402373,4.8200035,0.27625,0.0,0.0,0.3775
75,2.142386,4.8200035,0.27375,0.0,0.0,0.375
76,2.17992,4.433345,0.2725,0.0,0.0,0.37375
77,2.179998,4.043454,0.27125,0.0,0.0,0.37125
78,2.179998,3.5236917,0.27,0.0,0.0,0.37
79,2.1261258,2.9314742,0.26875,0.0,0.0,0.36875
80,2.079956,2.6181822,0.2675,0.0,0.0,0.36625
81,1.7914684,2.3657298,0.26625,0.0,0.0,0.365
82,1.2863662,2.0245285,0.265,0.0,0.0,0.3625
83,1.0559287,1.9041467,0.25,0.0,0.0,0.36125
84,1.0559287,1.9041467,0.24875,0.0,0.0,0.35875
85,1.0559287,1.9041467,0.2475,0.0,0.0,0.3575
86,1.3159157,1.9041467,0.24625,0.0,0.0,0.355
87,1.3159157,1.9041467,0.245,0.0,0.0,0.35375
88,1.4904128,2.0968747,0.24375,0.0,0.0,0.3525
89,1.4904128,2.0968747,0.2425,0.0,0.0,0.35
90,1.4904128,2.0968747,0.24125,0.0,0.0,0.34875
91,1.4904128,2.0968747,0.24,0.0,0.0,0.34625
92,1.7503998,2.0968747,0.23875,0.0,0.0,0.345
93,2.1312459,2.1807861,0.2375,0.0,0.0,0.34375
94,2.6413853,2.173088,0.23625,0.0,0.0,0.34125
95,3.2883174,2.1799932,0.235,0.0,0.0,0.34
96,3.4159667,2.1799932,0.23375,0.0,0.0,0.33875
97,3.4159667,2.1799932,0.2325,0.0,0.0,0.33625
98,3.6256626,2.188992,0.2325,0.0,0.0,0.335
99,3.8249407,2.5215034,0.23125,0.0,0.0,0.3325
100,3.833594,2.911388,0.23,0.0,0.0,0.33125
101,3.833594,2.911388,0.25625,0.0,0.0,0.33
102,3.833594,2.911388,0.255,0.0,0.0,0.32875
103,3.833594,2.911388,0.25375,0.0,0.0,0.32625
104,3.833594,2.911388,0.2525,0.0,0.0,0.325
105,3.820011,2.6529536,0.25125,0.0,0.0,0.32375
106,3.820011,2.433619,0.25,0.0,0.0,0.32125
107,3.671156,2.2164464,0.24875,0.0,0.0,0.32
108,3.176194,2.179994,0.2475,0.0,0.0,0.31875
109,2.6595562,2.179994,0.24625,0.0,0.0,0.31625
110,2.6595562,2.179994,0.245,0.0,0.0,0.315
111,2.6595562,2.179994,0.24375,0.0,0.0,0.31375
112,2.6595562,2.179994,0.2425,0.0,0.0,0.3125
113,2.399569,2.179994,0.24125,0.0,0.0,0.31
114,2.399569,2.179994,0.24,0.0,0.0,0.30875
115,2.399569,2.179994,0.23875,0.0,0.0,0.3075
116,2.1395822,2.179994,0.2375,0.0,0.0,0.30625
117,2.1554081,2.5696535,0.23625,0.0,0.0,0.305
118,2.1765094,3.089199,0.235,0.0,0.0,0.3025
119,2.1799958,3.8671122,0.23375,0.0,0.0,0.30125
120,2.1799958,4.385094,0.2325,0.0,0.0,0.3
121,2.1799958,4.596884,0.23125,0.0,0.0,0.3875
122,2.1799958,4.596884,0.23125,0.0,0.0,0.385
123,2.1799958,4.596884,0.23,0.0,0.0,0.38375
124,2.1799958,4.596884,0.22875,0.0,0.0,0.38125
125,2.1799958,4.8568707,0.2275,0.0,0.0,0.38
126,2.1799958,4.8568707,0.22625,0.0,0.0,0.3775
127,2.6990867,4.826579,0.225,0.0,0.0,0.37625
128,3.3472922,4.820006,0.22375,0.0,0.0,0.37375
129,3.9960265,4.820003,0.2225,0.0,0.0,0.3725
130,4.6452727,4.820003,0.22125,0.0,0.0,0.40625
131,5.291998,4.820003,0.22,0.0,0.0,0.40375
132,5.6121135,4.815009,0.22,0.0,0.0,0.425
133,6.116343,4.688022,0.21875,0.0,0.0,0.4225
134,6.7466297,4.529289,0.2175,0.0,0.0,0.44375
135,6.9987445,4.4657955,0.21625,0.0,0.0,0.4625
136,7.223871,4.3381367,0.215,0.0,0.0,0.46
137,7.4735713,4.167557,0.21375,0.0,0.0,0.4575
138,7.992906,4.1799955,0.2125,0.0,0.0,0.455
139,8.381135,4.1799955,0.2125,0.0,0.0,0.45375
140,8.852679,4.180452,0.21125,0.0,0.0,0.45125
141,9.048011,3.9885054,0.21,0.0,0.0,0.44875
142,9.261647,3.9799924,0.20875,0.0,0.0,0.44625
143,9.261647,3.9799924,0.2075,0.0,0.0,0.44375
144,9.778524,3.9799924,0.20625,0.0,0.0,0.4425
145,10.292962,3.9799924,0.20625,0.0,0.0,0.44
146,10.798872,3.9911575,0.2625,0.0,0.0,0.4375
