t,x,y,hope,joy,satisfaction,fear
96,2.131254,2.180789,0.8475,0.0,0.0,0.0
97,2.5117126,2.1640325,0.845,0.0,0.0,0.0
98,3.0302403,2.1799932,0.8425,0.0,0.0,0.0
99,3.4159718,2.1799932,0.84,0.0,0.0,0.0
100,3.4159718,2.1799932,0.8375,0.0,0.0,0.0
101,3.6256673,2.1889935,0.835,0.0,0.0,0.0
102,3.8155928,2.3922338,0.8325,0.0,0.0,0.0
103,3.8335924,2.911398,0.83,0.0,0.0,0.0
104,3.8335924,2.911398,0.8275,0.0,0.0,0.0
105,3.8335924,2.911398,0.825,0.0,0.0,0.0
106,3.8335924,2.911398,0.8225,0.0,0.0,0.0
107,3.8335924,2.911398,0.82,0.0,0.0,0.0
108,3.820011,2.6529632,0.8175,0.0,0.0,0.0
109,3.820011,2.4336271,0.815,0.0,0.0,0.0
110,3.7410781,2.278089,0.8125,0.0,0.0,0.0
111,3.3059282,2.179994,0.81,0.0,0.0,0.0
112,2.7880476,2.179994,0.8075,0.0,0.0,0.0
113,2.3384624,2.2067509,1.0,0.0,0.0,0.0
114,2.3384624,2.2067509,0.9975,0.0,0.0,0.0
115,2.3384624,2.2067509,0.995,0.0,0.0,0.0
116,2.3384624,2.2067509,0.9925,0.0,0.0,0.0
117,2.0784752,2.2067509,0.99,0.0,0.0,0.0
118,2.2077792,2.2201223,0.9875,0.0,0.0,0.0
119,2.2077792,2.2201223,0.985,0.0,0.0,0.0
120,2.1705995,2.5904517,0.9825,0.0,0.0,0.0
121,2.1799967,3.2400532,0.98,0.0,0.0,0.0
122,2.1799967,3.8883033,0.9775,0.0,0.0,0.0
123,2.1799967,4.277186,0.975,0.0,0.0,0.0
124,2.1821501,4.606685,0.0,1.0,0.0,0.0
125,2.1821501,4.606685,0.0,0.9975,0.0,0.0
126,2.1821501,4.606685,0.0,0.995,0.0,0.0
127,2.1821501,4.606685,0.0,0.9925,0.0,0.0
128,2.1821501,4.866672,0.0,0.99,0.0,0.0
129,2.1821501,4.866672,0.0,0.9875,0.0,0.0
130,2.701051,4.8332844,0.0,0.985,0.0,0.0
131,3.2197728,4.8200064,0.0,0.9825,0.0,0.0
132,3.6064367,4.8200064,0.0,0.98,0.0,0.0
133,4.126105,4.820003,0.0,0.9775,0.0,0.0
134,4.515678,4.820003,0.0,0.975,0.0,0.0
